action_type,alignment,alpha,background_blur,background_gradient_direction,border_color_alpha,border_color_hex,border_width,bottomMask,color_alpha,color_hex,content_mode,corner_radius_units,corner_radius_value,description,disable_tap_zones,flip_interval,font_color_alpha,font_color_hex,font_size,font_type,guid,height,height_points,hex,hidden,hide_page_status,icon_background_blur,icon_background_gradient_direction,item_size_height_units,item_size_height_value,item_size_width_units,item_size_width_value,key,log_view,margin_bottom,margin_left,margin_right,margin_top,name,number_of_items,orientation,padding_bottom,padding_left,padding_right,padding_top,rotation,size_height_units,size_height_value,size_width_units,size_width_value,template_identifier,template_name,text,tint_color_alpha,tint_color_hex,title,topMask,trigger,type,userInfo,story_id
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,копия,,0.0,1.0,#000000,15,normal,2bd4fb9d-7816-4967-b467-b7e376228d0d,40.0,percent,#ffdd2c,false,,False,vertical,,,,,,,0,0,0,0,Бизнес: Кофейный островок,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Читать историю двух Владов,,,,False,,web_view,,323
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,False,20.0,1.0,#ffffff,19,normal,15a49f10-e00a-4667-83f7-a059cf163397,,,#ffffff,false,False,False,vertical,,,,,,False,0,16,16,0,Валютные переводы,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,Отсканируйте карту получателя или введите ее номер — карта должна быть в той же валюте. Затем укажите сумму и нажмите «Перевести».,,,,False,,grouped,,258
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,40a9900b-0b58-4540-8105-ac57b5e61729,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Фестиваль Park Live,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Купить билеты,,,,False,,web_view,,488
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,5,False,15.0,1.0,#000000,15,normal,0e68acd4-7054-41d9-a135-b66eba4e7edf,40.0,percent,#ffdd2c,false,,False,vertical,,,,,,False,0,0,0,0,Вложить в Китай,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Выбрать и купить,,,,False,,web_view,,470
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,"Облако, крупный текст + кнопка",False,15.0,1.0,#000000,15,normal,db47beb6-2268-4466-8cbe-c3ba38904626,40.0,percent,#ffdd2c,false,False,False,vertical,,,,,answer_2,False,0,0,0,0,Проверьте себя,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,ПРОЙТИ ТЕСТ,,,,False,,web_view,,808
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,05768039-417c-4db2-944b-27941c2b88ca,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Музеи Петербурга,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Подробнее,,,,False,,web_view,,895
,center,1.0,False,diagonal,,,0.0,False,,,fill,percent,50,копия,False,12.0,1.0,#000000,15,normal,9c5b1827-f987-4edd-a050-7b0c8d4355ef,40.0,percent,#ffdd2c,false,False,False,vertical,,,,,,True,32,0,0,0,Лайфхак по инвестициям,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Настроить уведомление,,,,False,,web_view,,940
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,e135f167-bdb0-4159-85d7-bc5c40a0622d,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Новые правила займов,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Новые правила с 1 июня,,,,False,,web_view,,1100
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,8,False,20.0,1.0,#ffffff,17,normal,238c01df-4a4b-421d-a31c-9c997d3f3a79,,,#000000,false,False,False,vertical,,,,,,True,32,0,0,0,Лучшие рестораны Киева,,horizontal,0,0,0,0,,pixels,0,pixels,0,,text,"Небольшое уютное заведение с авторской кухней. Здесь сами пекут хлеб, подают завтраки, обеды и оригинальные ужины. А бар напоминает стеллаж из старинной библиотеки — там есть даже лестница для высоких полок. ",,,,False,,label,,1304
,center,1.0,False,diagonal,,,0.0,False,1.0,#000000,fill,percent,50,дислайк,False,15.0,1.0,#000000,15,normal,0d177f12-49ba-4110-9307-860c7747e7af,40.0,percent,#ffdd2c,false,,False,vertical,,,,,dislike,False,0,0,0,0,Покупки без процентов,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Как не платить проценты,,,,False,,next_page,,348
,center,1.0,False,diagonal,,,0.0,False,,,fill,percent,50,копия,,15.0,1.0,#000000,15,normal,a6ea4c97-8f10-4a75-a4e9-d2959c23a62a,40.0,percent,#ffdd2c,false,,False,vertical,,,,,,,0,0,0,0,Узнать свой ИНН,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Узнать свой ИНН,,,,False,,deeplink,,319
,leading,0.7,False,diagonal,,,0.0,False,,,,pixels,0,5,,15.0,1.0,#000000,17,normal,66e947a0-6e0d-4767-aa0b-573bec2c8fb6,40.0,percent,#ffffff,false,,False,vertical,,,,,,,0,0,0,0,Зачем вам допкарта,,horizontal,0,0,0,0,,pixels,0,pixels,0,,text,"Закажите дополнительную карту в приложении или позвонив в банк. Доставим ее бесплатно вам или сразу человеку, чье имя вы укажете на карте.",,,,False,,label,,298
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,4,,15.0,1.0,#000000,15,normal,cda3ef97-9d4a-41bc-aed4-8c0386e58c7a,40.0,percent,#ffdd2c,false,,False,vertical,,,,,,False,0,0,0,0,Прожить без зарплаты,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Сколько протянете вы,,,,False,,web_view,,382
,center,1.0,False,diagonal,,,0.0,False,,,fit,percent,50,картинка,,15.0,1.0,#000000,15,normal,80ca360c-03c2-4e87-8538-2f692d983bde,40.0,percent,#ffdd2c,false,,False,vertical,,,,,,False,0,0,0,0,Что делать с ипотекой,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Подать заявку,,,,False,,deeplink,,421
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,4b469b32-54df-43b3-a582-c697e4649a49,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Богемный Париж,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"Необычные вещи, винтажные наряды и предметы интерьера нужно искать на самом большом в Европе блошином рынке — Marché aux Puces. Он находится на окраине Парижа и работает только по выходным.",,,,False,,label,,1082
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,4,,15.0,1.0,#000000,15,normal,162bd2b4-5e50-41f4-941b-022ec5bf6c06,40.0,percent,#ffdd2c,false,,False,vertical,,,,,,False,0,0,0,0,Получить квартиру ,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Узнать,,,,False,,web_view,,458
common_request,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,,25.0,1.0,#000000,15,normal,a3fbd0e7-4242-4986-ba82-6bcf9ce1604f,,,#ffdd2c,false,False,False,vertical,,,,,,,0,0,0,0,Лучшие рестораны Сочи,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Забронировать,,,,False,on_close,deeplink,,196
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,копия,False,0.0,1.0,#000000,15,normal,d353f3b7-7a0a-461a-aedc-5e83ee469844,40.0,percent,#ffdd2c,false,False,False,vertical,,,,,,False,0,0,0,0,Бизнес: пекарня,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Читать историю Коли,,,,False,,web_view,,405
,leading,0.7,False,diagonal,,,0.0,False,,,fit,pixels,0,картинка,False,15.0,1.0,#000000,16,normal,1207c371-9039-415a-a103-5c280b3a3747,40.0,percent,#ffffff,false,,False,vertical,,,,,,False,0,0,0,0,Как копить мили,,horizontal,0,0,0,0,,pixels,0,pixels,0,,text,"Чтобы быстрее накопить мили на бесплатный билет, расскажите о карте друзьям. За рекомендацию банк начислит вам 1500 миль, а другу 100 миль.",,,,False,,label,,394
,center,1.0,False,diagonal,,,0.0,False,1.0,#000000,fill,percent,50,дислайк,False,15.0,1.0,#000000,15,normal,9c999d71-a32e-44ba-bbb1-0b0fb4e17bad,40.0,percent,#ffdd2c,false,,False,vertical,,,,,dislike,False,0,0,0,0,Покупки без процентов,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Как не платить проценты,,,,False,,next_page,,347
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,False,10.0,1.0,#ffffff,19,normal,273aed2e-331e-41f0-8fbf-ffd06a8adebe,,,#ffffff,false,False,False,vertical,,,,,,True,0,16,16,0,Регулярный платеж за интернет,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,Теперь плата за интернет станет регулярно списываться в указанное вами время. И не будет никаких разрывов,,,,False,,grouped,,532
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,25.0,1.0,#000000,15,normal,bde4b943-76bd-4f0f-bd68-8bd8cb8aa4cc,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Во что поиграть ,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Играть,,,,False,,web_view,,489
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,609fded0-b087-4e65-bca9-f30097a4d401,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Новинки Тинькофф Ипотеки,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Заполнить анкету,,,Почему вам выгодно взять ипотеку через Тинькофф,False,,deeplink,,559
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,False,10.0,1.0,#ffffff,20,normal,178a1ad2-f84d-4f3b-9c0b-028d28991065,,,#ffffff,false,False,False,vertical,,,,,,True,0,16,16,0,Что нового в Историях,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,"Не бойтесь что-то пропустить: когда появятся новые, блок с Историями вернется.",,,,False,,grouped,,604
,center,1.0,False,diagonal,,,0.0,False,,,fill,percent,50,копия,False,12.0,1.0,#000000,15,normal,e838afe1-1190-41dd-8fee-e743a3003d15,40.0,percent,#ffdd2c,false,False,False,vertical,,,,,,True,32,0,0,0,Лайфхак инвестиций,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Настроить уведомление,,,,False,,web_view,,941
,center,1.0,False,diagonal,,,0.0,False,,,fill,percent,50,копия,False,15.0,1.0,#000000,15,normal,03d3dc06-74d4-40d2-8f4e-a8199cd038eb,40.0,percent,#ffdd2c,false,,False,vertical,,,,,,False,0,0,0,0,Бронь ресторанов,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Выбрать ресторан,,,,False,,common_request,,285
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,копия,,0.0,1.0,#000000,15,normal,9e08b4c2-b450-4200-b0c8-ce6cbef3102f,40.0,percent,#ffdd2c,false,,False,vertical,,,,,,False,0,0,0,0,Бизнес: пиццерия,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Читать историю Юли и Золта,,,,False,,web_view,,428
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,,15.0,1.0,#ffffff,20,normal,76260775-551d-4e54-be05-f4740f8f1e14,,,#ffffff,false,,False,vertical,,,,,,False,4,16,16,8,Избранные платежи,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,Теперь платеж в избранном.,,,,False,,grouped,,423
,center,1.0,False,diagonal,,,0.0,False,,,fill,percent,50,копия,,15.0,1.0,#000000,15,normal,ab4ae853-4088-43c3-a574-f47f0879e9c2,40.0,percent,#ffdd2c,false,,False,vertical,,,,,,False,0,0,0,0,Как оплатить парковку,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Оплатить парковку,,,,False,,deeplink,,445
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,e28db1f9-f9c7-403e-bd07-8e9dde82aa3b,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Майские выходные дома,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Играть,,,,False,,web_view,,756
,center,1.0,False,diagonal,,,0.0,False,,,fill,percent,50,5,False,20.0,1.0,#000000,15,normal,fb58d423-0d33-4670-9634-e56c81084467,1.0,pixel,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Книги про биткойн,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Заказать,,,,False,,web_view,,496
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,8,False,15.0,1.0,#000000,15,normal,e33c1aa2-de53-42cb-9a06-b9482701de9b,40.0,percent,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Как у них: Франция,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Читать о жизни во Франции,,,,False,,web_view,,586
,leading,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,b3c43a62-25bb-4d9a-adb1-3572a4403b5b,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,На что посмотреть в Петербурге,,horizontal,0,26,26,0,,pixels,36,pixels,0,text_label,text,На карте,,,,False,,web_view,,866
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,0a83c9b2-17a7-4726-8a09-0876fe0e588d,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Вымогают деньги,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Читать,,,,False,,web_view,,745
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,7,,15.0,1.0,#000000,15,normal,f46829b6-89a0-497b-9aaf-927881a67811,40.0,percent,#ffdd2c,false,,False,vertical,,,,,,False,0,0,0,0,Куда вложить 100 000 ₽,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Читать,,,,False,,next_page,,352
,center,1.0,False,diagonal,,,0.0,False,,,fill,percent,50,копия,,15.0,1.0,#000000,15,normal,830fe19e-29f2-42fa-827a-a9cd0cc049a3,40.0,percent,#ffdd2c,false,,False,vertical,,,,,,False,0,0,0,0,Как оплатить парковку,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Оплатить парковку,,,,False,,deeplink,,446
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,копия,,0.0,1.0,#000000,15,normal,ec838a91-310e-40de-9648-f868a803958b,40.0,percent,#ffdd2c,false,,False,vertical,,,,,,False,0,0,0,0,Бизнес: барбершоп,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Читать историю Сергея и Алексея,,,,False,,web_view,,475
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,2a52887d-96cf-4fbf-b9df-52531a19cd89,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Книги по подписке,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Читать,,,,False,,web_view,,587
,leading,0.6,False,vertical,,,,False,,,,percent,50,да,False,,1.0,#ffffff,24,bold,84f0e385-6c8a-4f92-82c7-8027b6615e8c,,,#000000,false,False,False,vertical,,,,,yes,True,32,,16,80,Едете за границу?,,horizontal,,16,16,,,pixels,64,pixels,64,,,"Восхитительно!
В следующий раз покажем вам подборку советов, о чем нужно позаботиться перед поездкой, чтобы защитить себя, деньги и багаж.",,,,False,,label,"{""paramValue"":""YES""}",1311
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,15.0,1.0,#000000,15,normal,ed2bccd3-25b7-47b2-a754-f3f4510245a9,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Риелтор для сделки,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Посмотреть витрину,,,,False,,web_view,,809
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,0b51a790-3531-46a8-886c-e84b8550c216,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Лучшее мороженое,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Подробнее,,,,False,,web_view,,923
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,2e12ee7c-3faf-48e0-b1a5-ef8c37307b58,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Когда нужен нотариус,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Подробный разбор,,,,False,,web_view,,846
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,cb603df7-9001-474b-99ed-d5642f30a128,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Гид по Beat Fest,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Билеты,,,,False,,web_view,,957
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,7a433626-227a-4809-9100-44c6e9ba9be1,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Фуд-корты Москвы,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"Пустующее несколько десятилетий здание на Рождественском бульваре недавно вновь вернуло себе историческое значение. Теперь здесь и рынок, и двухэтажный ресторанный кластер с разнообразными точками: от кондитерской солиста «Руки вверх» до очень приличного устричного бара.",,,,False,,label,,491
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,c03cfe07-12a3-4b28-afa6-360aa239090a,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Лучшие виды на город,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"Здание института построил Жан Нувель. Даже если вы не поклонник восточной культуры, сюда все равно стоит зайти. На последнем этаже есть просторная смотровая площадка, откуда можно увидеть весь город.",,,,False,,label,,1083
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,,15.0,1.0,#ffffff,18,normal,06917a20-7de2-4ffb-8046-4a10b1fc2b65,40.0,percent,#ffffff,false,,False,vertical,,,,,,False,0,16,16,0,Детская карта,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,"Контролируйте расходы, чтобы знать о тратах ребенка и участвовать в достижении поставленных им целей.",,,,False,,grouped,,372
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,копия,False,0.0,1.0,#000000,15,normal,88cd9031-86d0-40b8-a130-2ba78fc7f906,40.0,percent,#ffdd2c,false,False,False,vertical,,,,,,False,0,0,0,0,Бизнес: походы на байдарках,,horizontal,0,16,16,0,,pixels,36,pixels,0,,text,Читать о байдарочном бизнесе,,,,False,,web_view,,1312
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,b9a48dfd-a7eb-4a3c-af22-6289b85c39af,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Куда пойти на «Ночь в музее» ,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Подробнее,,,,False,,web_view,,867
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,47edae4d-2bbd-42a9-9948-37a6cf5c49b8,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Что смотреть в кино,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Билеты,,,,False,,web_view,,879
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,8,False,15.0,1.0,#000000,15,normal,56e1917c-b47c-47a2-b2f5-e4924dd1e33a,40.0,percent,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Как у них: Алма-Ата,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Жизнь в Алма-Ате,,,,False,,web_view,,819
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,41029e18-13c2-4826-82b5-dd1acf5b1c9e,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Как выгоднее платить ипотеку?,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Как это выглядит в цифрах,,,,False,,web_view,,837
,leading,1.0,False,vertical,,,0.0,False,,,,pixels,0,2,False,15.0,1.0,#ffffff,17,normal,2a8c8d91-edab-4389-a406-718671edfe62,,,#000000,false,False,False,vertical,,,,,,True,32,0,0,16,Кредитка на 10% дешевле,,horizontal,0,16,16,0,,pixels,0,pixels,0,,text,"Но помните, что выгоднее не снимать наличные, а расплачиваться за покупки картой. ",,,,False,,label,,847
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,7f841718-03d7-40fb-95fd-88e5fe221109,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Деньги для инвестиций,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Открыть и купить,,,,False,,web_view,,537
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,fb4df829-fae3-4ef4-84eb-e9b0729a054d,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Рассрочка в Тинькофф,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Оформить карту,,,,False,,deeplink,,1329
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,bf59198b-79cd-4717-a7ec-091ae90c6bd9,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Индекс MSCI,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Подробнее,,,,False,,web_view,,896
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,725abaca-7a3d-4931-bfe4-07aec661850e,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Боюсь привязывать карту,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Я настоящий параноик,,,,False,,web_view,,912
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,0e8d61c9-5ce3-4ef6-9aa3-ac085058c8d3,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Кредит наличными,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Оформить кредит наличными,,,,False,,deeplink,,1234
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,6cf17d57-5de0-4fd4-8cf1-486a30ae9789,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Музыканты новой волны,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Слушать,,,,False,,web_view,,924
,center,1.0,False,diagonal,1.0,#ffffff,1.0,False,,,fill,pixels,16,тощщый,False,10.0,1.0,#000000,15,bold,6707937d-ab0a-4bcd-9785-3549aa3eaddd,,,#ffffff,false,False,False,vertical,,,,,,True,0,0,0,0,Дали отгулы,,horizontal,0,0,0,0,,pixels,44,pixels,225,,,Подробный разбор,,,,False,,web_view,,958
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,e90d7322-3985-417e-9912-39c9c90ce129,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Ошибки в кредитной истории,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Работа над ошибками,,,,False,,web_view,,1179
,leading,0.8,False,diagonal,,,0.0,False,,,fill,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,4a937830-5d72-4ae4-8601-b4fb7da8b1aa,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Подключить «Эпл-пэй»,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"Оплачивайте покупки в интернете, покупайте в магазинах в одно касание или авторизуйтесь в банкоматах Тинькофф, приложив смартфон к считывателю. ",,,,False,,label,,521
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,98f94dc5-82d4-4393-a891-eb45d1ec801b,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Кредит наличными,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Получить кредит наличными,,,,False,,deeplink,,589
,center,1.0,False,diagonal,1.0,#ffffff,1.0,False,,,fill,pixels,16,тощщый,False,10.0,1.0,#000000,15,bold,de9f4678-0c22-468c-814e-a672e4542467,,,#ffffff,false,False,False,vertical,,,,,,True,0,0,0,0,Безопасный ремонт ноутбука,,horizontal,0,0,0,0,,pixels,44,pixels,225,,,Подробный разбор,,,,False,,web_view,,616
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,False,15.0,1.0,#ffffff,20,normal,2dfb2051-0440-4c25-96cf-a1f22d3a529a,,,#ffffff,false,False,False,vertical,,,,,,True,4,16,16,8,Как пополнить карту,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,Оформите перевод по реквизитам. Деньги поступят на счет в течение 1–2 дней.,,,,False,,grouped,,478
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,копия,False,0.0,1.0,#000000,15,normal,2a064751-052f-4229-8bd3-7d2d1e39e79c,40.0,percent,#ffdd2c,false,,False,vertical,,,,,,False,0,0,0,0,Как у них: Шпицберген,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Читать о жизни на Шпицбергене,,,,False,,web_view,,454
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,658a1634-2440-44a9-8282-af45f4ea9e48,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Авиабилеты подорожают,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Как летать дешево,,,,False,,web_view,,666
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,ceb9323c-a815-46c7-aee1-a3bbb8a11aec,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Комиссия за рубежом,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Как вернуть деньги,,,,False,,web_view,,796
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,False,10.0,1.0,#ffffff,19,normal,90338869-55fb-4c21-928a-26c6dccdbece,,,#ffffff,false,False,False,vertical,,,,,,True,0,16,16,0,Регулярный платеж за интернет,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,Теперь плата за интернет станет регулярно списываться в указанное вами время. И не будет никаких разрывов,,,,False,,grouped,,522
,leading,0.8,False,diagonal,,,0.0,False,,,fill,pixels,0,описание,False,15.0,1.0,#ffffff,17,normal,fc4f83c0-9f65-4287-9b3f-022837025829,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Как открыть доп. карту,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"С дополнительной картой можно смотреть траты и остаток, переводить деньги, оплачивать ЖКХ и услуги в приложении",,,,False,,label,,498
,center,1.0,False,diagonal,1.0,#ffffff,1.0,False,,,fill,pixels,16,тощщый,False,10.0,1.0,#000000,15,bold,804aa53e-1267-42ae-a012-76ed33b5935b,,,#ffffff,false,False,False,vertical,,,,,,True,0,0,0,0,Вложить в МФО,,horizontal,0,0,0,0,,pixels,44,pixels,225,,,Подробный разбор,,,,False,,web_view,,838
